Iteracion,Tasa llegada,Tasa servicio
1,14,20.250800203116114
2,23,20.0032601324218
3,16,20.239933226594804
4,16,20.565721308497228
5,22,20.451909741211505
6,13,20.54858256035799
7,21,19.019870119944784
8,14,20.45066167684231
9,16,19.742467109101096
10,13,20.667009866743687
11,19,21.11690040968939
12,19,20.74309258853402
13,15,21.364713181377105
14,21,19.81964724267454
15,19,19.371728979646626
16,12,21.64204508265104
17,14,19.73113217094278
18,26,19.7441988295265
19,11,19.430785092575753
20,16,20.58464360477397
21,15,19.30516330276792
22,17,20.397359307387067
23,12,21.348472748150293
24,12,19.890424145717613
25,20,19.06214899138679
26,13,20.103747677854184
27,14,20.24368775204401
28,20,19.306852522849667
29,17,20.909085178682005
30,12,20.107901532413972
31,20,20.050473633220886
32,14,20.26354100966939
33,17,19.270988582643252
34,20,18.95047121065353
35,19,19.636067014145752
36,13,19.884238351725187
37,13,20.36157195399762
38,8,19.17949218856866
39,26,19.266613848287466
40,17,20.274280730256123
41,16,18.20552174360253
42,16,21.220525140446057
43,23,20.476097984032705
44,19,19.852540375497146
45,16,20.545215654343117
46,15,19.937451156339232
47,12,20.27538918633466
48,15,21.267306455304414
49,14,20.334945882212303
50,17,18.61075333956764
51,25,21.358555603016807
52,11,20.435732948425837
53,11,20.01628874182891
54,15,20.71996767737998
55,15,20.22556764693465
56,11,20.34417020496083
57,13,19.730290695116782
58,13,19.23383620964454
59,15,20.858654327616215
60,12,19.817144128507024
61,11,20.186956866202806
62,15,21.051538675905462
63,18,20.477124279186025
64,29,21.00282911092634
65,20,21.220075727367963
66,21,20.25607532813246
67,17,19.617806816230623
68,17,19.627514209704433
69,12,19.730742269124548
70,20,20.00368783056583
71,13,20.93615438078709
72,17,19.74430074124185
73,15,19.624209150242113
74,20,19.703234742053358
75,17,19.58670808083076
76,15,19.451452511629594
77,9,21.139630144917597
78,16,18.31667326893778
79,5,20.224668292318817
80,18,20.724175818730064
81,16,19.927374249987984
82,18,18.538964141073212
83,22,19.843350901784238
84,15,19.874512871525074
85,16,19.979927888682255
86,14,21.535168079821464
87,18,19.84220010411324
88,16,20.360990650987173
89,27,21.162258580874553
90,8,19.869740534968162
91,13,19.218777917889152
92,19,21.41599372672403
93,15,19.755575803743195
94,18,20.00383212472621
95,13,19.959532007337554
96,15,20.870426021781302
97,12,20.17066686178004
98,19,18.81451865382079
99,15,20.90323439012768
100,23,20.347237831450723
101,14,19.072279082150665
102,19,20.66507767146912
103,12,19.02447743604918
104,9,19.55219211483713
105,20,19.967128557628172
106,15,19.577066604964415
107,13,20.24256579012297
108,17,19.408663975542954
109,16,20.5930153776659
110,19,20.038701646892488
111,12,20.37436343372032
112,9,19.744134214129573
113,13,20.424598667465812
114,21,20.174799341880743
115,18,20.093504315306586
116,20,20.275166213511785
117,19,20.935577497875393
118,12,20.71230795809388
119,18,20.912788475826115
120,21,19.63247880486711
121,11,20.97025058600078
122,16,19.838564858884606
123,16,20.46038398093779
124,12,21.264677205697193
125,22,19.121207779575087
126,16,19.569132921784494
127,18,19.005988328351542
128,18,19.304713994557495
129,18,19.094173624623256
130,21,20.2047777177444
131,25,19.990066896919792
132,20,20.61555269182798
133,14,20.448392802978265
134,21,20.48564783258134
135,11,20.448990284632426
136,14,19.86239672808511
137,20,19.0226249340984
138,24,19.61629083560842
139,25,21.52567531703172
140,14,20.681325113662894
141,24,21.34668907122361
142,16,19.633003181508947
143,21,19.407586194605106
144,16,19.930421472571027
145,18,21.292286961427322
146,13,20.631996410960223
147,19,19.195600808376234
148,8,19.016478428015578
149,23,20.337925119481216
150,19,18.97549807357493
151,18,18.448781820663275
152,19,20.38059683356092
153,14,19.794200669485253
154,9,19.723980023219156
155,20,20.268560573502487
156,14,19.25226697477569
157,17,20.083215107456567
158,26,20.179496919310324
159,19,21.00215082016057
160,13,20.72491120805533
161,12,20.79693932099485
162,20,20.202607903282146
163,11,19.512483859103348
164,12,19.529828426304263
165,16,19.208606760238208
166,15,20.67633884921513
167,17,21.08551404869558
168,17,19.59846698150483
169,19,20.037319275260096
170,26,19.627706591333677
171,13,20.624747258434567
172,18,20.073382974499197
173,13,20.959100956357183
174,21,19.50444002741916
175,18,19.964236272717088
176,21,20.524733934711442
177,13,19.471593046692284
178,15,20.21775619601237
179,14,20.6090774902209
180,21,20.75674845870668
181,17,20.414564191721194
182,22,20.174639292903123
183,14,20.437329324320288
184,21,18.758647163230783
185,13,19.756605790294877
186,14,19.37914043309848
187,17,19.919203567789744
188,14,20.19268854159084
189,12,19.333445300304703
190,8,19.990060042954877
191,18,20.213850795548275
192,13,20.83282257984018
193,11,19.38249485951761
194,16,19.72831743496195
195,12,19.842534615375317
196,21,20.616430927998554
197,21,18.815518631824045
198,22,20.06437468001626
199,16,20.002545233427345
200,15,19.906960402260946
201,21,19.53418052770231
202,26,19.45795105473691
203,11,19.711443633394634
204,14,19.89975612333151
205,20,19.384013101047895
206,26,20.234925745790022
207,17,19.90278905749347
208,11,20.086321644462984
209,14,20.364512358162088
210,23,19.860865820571604
211,19,18.67777825567359
212,11,20.980951952727427
213,12,19.696507759150233
214,24,20.35739892551724
215,15,19.497051454969515
216,15,19.688629627024397
217,14,19.49901556450519
218,12,21.15631339528934
219,17,21.18953464223865
220,15,19.549780319624347
221,16,20.901829341575915
222,13,20.49120647444294
223,12,20.26915069559575
224,12,19.69149210547159
225,15,19.621549171132216
226,13,19.468412646986955
227,14,19.306805391368254
228,14,20.320489374611565
229,14,19.00901607324986
230,21,20.940259775531917
231,18,20.230329431215168
232,16,19.56765367763442
233,16,18.798235729649463
234,15,20.060488498567114
235,10,19.640440753466173
236,16,20.38976680909525
237,28,19.784321095267646
238,16,18.878851061123747
239,19,18.532188930948188
240,22,21.313009603901513
241,12,19.07146071674993
242,20,19.492880006063597
243,22,19.922983274015735
244,19,20.619223931724125
245,13,20.535988532453707
246,9,17.87006502626705
247,15,20.307611683815434
248,10,20.608639020214078
249,15,19.20737538875779
